S03S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
024-01-01-G\ME_EXBX\14.5DFX_Jet     2.78e-09   3600.0   2.78e-09
024-01-01-G\ME_EXBX\14.5DFO_Jet     1.11e-10   3600.0   2.89e-09
024-01-01-G\ME_EXBX\7.7DFX_Jet      2.97e-08   3600.0   3.26e-08
024-01-01-G\ME_EXBX\7.7DFO_Jet      1.18e-09   3600.0   3.38e-08
024-01-01-G\ME_EXBX\2.9FFX_Jet      3.07e-08   3600.0   6.45e-08
024-01-01-G\ME_EXBX\2.9FFO_Jet      1.22e-09   3600.0   6.57e-08
024-01-01-G\ME_EXBO\14.5DFO_Jet     2.20e-08   3600.0   8.77e-08
024-01-01-G\ME_EXBO\7.7DFO_Jet      2.36e-07   3600.0   3.23e-07
024-01-01-G\SM_EXBX\14.5DFX_Jet     2.67e-08   3600.0   3.50e-07
024-01-01-G\SM_EXBX\14.5DFO_Jet     4.81e-11   3600.0   3.50e-07
024-01-01-G\SM_EXBX\7.7DFX_Jet      2.86e-07   3600.0   6.36e-07
024-01-01-G\SM_EXBX\7.7DFO_Jet      5.15e-10   3600.0   6.36e-07
024-01-01-G\SM_EXBX\2.9FFX_Jet      2.95e-07   3600.0   9.31e-07
024-01-01-G\SM_EXBX\2.9FFO_Jet      5.31e-10   3600.0   9.32e-07
024-01-01-G\SM_EOBX\14.5DFO_Jet     1.15e-09   3600.0   9.33e-07
024-01-01-G\SM_EOBX\7.7DFO_Jet      1.24e-08   3600.0   9.46e-07
023-03-01-G-DC\LM_EXBX\14.5DFX_Jet  2.29e-09   3600.0   9.48e-07
023-03-01-G-DC\LM_EXBX\14.5DFO_Jet  4.36e-12   3600.0   9.48e-07
023-03-01-G-DC\LM_EXBX\7.7DFX_Jet   2.45e-08   3600.0   9.72e-07
023-03-01-G-DC\LM_EXBX\7.7DFO_Jet   4.66e-11   3600.0   9.72e-07
023-03-01-G-DC\LM_EXBX\2.9FFX_Jet   2.53e-08   3600.0   9.98e-07
023-03-01-G-DC\LM_EXBX\2.9FFO_Jet   4.81e-11   3600.0   9.98e-07
023-03-01-G-DC\SM_EXBX\14.5DFX_Jet  1.32e-08   3600.0   1.01e-06
