P05S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
027-01-G-DC\ME_EXBX\14.5DFX_Jet     1.97e-09   1808.8   1.97e-09
027-01-G-DC\ME_EXBX\14.5DFO_Jet     3.91e-11   1808.8   2.01e-09
027-01-G-DB\ME_EXBX\14.5DFX_Jet     1.18e-09   1808.8   3.19e-09
027-01-G-DB\ME_EXBX\14.5DFO_Jet     2.35e-11   1808.8   3.21e-09
027-01-G-DA\ME_EXBX\14.5DFX_Jet     7.87e-10   1808.8   4.00e-09
027-01-G-DA\ME_EXBX\14.5DFO_Jet     1.57e-11   1808.8   4.01e-09
027-01-G-DC\ME_EXBX\7.7DFX_Jet      2.11e-08   1525.2   2.51e-08
027-01-G-DC\ME_EXBX\7.7DFO_Jet      4.19e-10   1525.2   2.55e-08
027-01-G-DB\ME_EXBX\7.7DFX_Jet      1.26e-08   1525.2   3.81e-08
027-01-G-DB\ME_EXBX\7.7DFO_Jet      2.51e-10   1525.2   3.84e-08
027-01-G-DA\ME_EXBX\7.7DFX_Jet      8.42e-09   1525.2   4.68e-08
027-01-G-DA\ME_EXBX\7.7DFO_Jet      1.68e-10   1525.2   4.70e-08
027-01-G-DC\ME_EXBX\2.9FFX_Jet      2.17e-08   1257.7   6.87e-08
027-01-G-DC\ME_EXBX\2.9FFO_Jet      4.32e-10   1257.7   6.91e-08
027-01-G-DB\ME_EXBX\2.9FFX_Jet      1.30e-08   1257.7   8.21e-08
027-01-G-DB\ME_EXBX\2.9FFO_Jet      2.59e-10   1257.7   8.24e-08
027-01-G-DA\ME_EXBX\2.9FFX_Jet      8.69e-09   1257.7   9.11e-08
027-01-G-DA\ME_EXBX\2.9FFO_Jet      1.73e-10   1257.7   9.13e-08
027-01-G-DC\ME_EXBO\14.5DFO_Jet     7.79e-09   1234.3   9.91e-08
027-01-G-DB\ME_EXBO\14.5DFO_Jet     4.67e-09   1234.3   1.04e-07
027-01-G-DA\ME_EXBO\14.5DFO_Jet     3.12e-09   1234.3   1.07e-07
027-02-G\ME_EXBX\14.5DFX_Jet        1.97e-09   1108.4   1.09e-07
027-02-G\ME_EXBX\14.5DFO_Jet        7.83e-11   1108.4   1.09e-07
027-01-G-DC\ME_EXBO\7.7DFO_Jet      8.34e-08   1049.2   1.92e-07
027-01-G-DB\ME_EXBO\7.7DFO_Jet      5.00e-08   1049.2   2.42e-07
027-01-G-DA\ME_EXBO\7.7DFO_Jet      3.33e-08   1049.2   2.76e-07
027-01-G-DC\LM_EXBX\14.5DFX_Jet     1.14e-09   1021.2   2.77e-07
027-01-G-DC\LM_EXBX\14.5DFO_Jet     2.26e-11   1021.2   2.77e-07
027-01-G-DB\LM_EXBX\14.5DFX_Jet     6.82e-10   1021.2   2.77e-07
027-01-G-DB\LM_EXBX\14.5DFO_Jet     1.36e-11   1021.2   2.77e-07
027-01-G-DA\LM_EXBX\14.5DFX_Jet     4.55e-10   1021.2   2.78e-07
