P04P05 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
024-03-02-L\LM_EOBN\14.5DFO_Jet     0.00e+00      0.0   7.58e-05
024-03-02-L\LM_EOBN\7.7DFO_Jet      0.00e+00      0.0   7.58e-05
024-03-02-L\LM_EOBN\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-03-01-G\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   7.58e-05
024-03-01-G\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-03-01-G\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-03-01-G\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-03-01-G\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DC\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DC\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DC\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DC\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DC\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DB\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DB\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DB\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DB\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DB\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DA\SM_EXBX\2.9FFX_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DA\SM_EXBX\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DA\SM_EXBO\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DA\SM_EOBX\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-02-G-DA\SM_EOBO\2.9FFO_Jet      0.00e+00      0.0   7.58e-05
024-01-02-L\SM_EXBN\14.5DFX_Jet     0.00e+00      0.0   7.58e-05
024-01-02-L\SM_EXBN\14.5DFO_Jet     0.00e+00      0.0   7.58e-05
024-01-02-L\SM_EXBN\7.7DFX_Jet      0.00e+00      0.0   7.58e-05
024-01-02-L\SM_EXBN\7.7DFO_Jet      0.00e+00      0.0   7.58e-05
024-01-02-L\SM_EOBN\14.5DFO_Jet     0.00e+00      0.0   7.58e-05
024-01-02-L\SM_EOBN\7.7DFO_Jet      0.00e+00      0.0   7.58e-05
